state,operator,total_data,validity,cost,type,internet,facebook,twitter,whatsapp
Jammu and Kashmir,Idea,375,14,59,Internet,375,NA,NA,NA
Kolkata,Airtel,150,15,22,FB,NA,150,NA,NA
UP East,Idea,375,11,75,Internet,375,NA,NA,NA
UP East,Airtel,150,15,22,Internet,150,NA,NA,NA
UP East,Reliance,350,15,51,Unlimited-FB/Unlimited-TW,NA,NA,NA,NA
UP West/Uttarakhand,Reliance,350,15,51,Internet,350,NA,NA,NA
Bihar/Jharkhand,Idea,200,15,29,FB,NA,200,NA,NA
Bihar/Jharkhand,Idea,350,10,76,Internet,350,NA,NA,NA
Andhra Pradesh,Idea,375,11,74,Internet,375,NA,NA,NA
Madhya Pradesh/Chhattisgarh,Airtel,375,11,74,Internet,375,NA,NA,NA
Tamil Nadu,Idea,400,14,62,Internet,400,NA,NA,NA
UP East,Idea,400,14,62,Internet,400,NA,NA,NA
Haryana,Idea,250,15,36,FB,NA,250,NA,NA
Gujarat,Reliance,1500,25,127,Internet,1500,NA,NA,NA
UP West/Uttarakhand,Airtel,400,11,76,Internet,400,NA,NA,NA
Assam,Airtel,350,10,73,Internet,350,NA,NA,NA
Delhi NCR,Airtel,350,10,73,Internet,350,NA,NA,NA
North East,Airtel,350,10,73,Internet,350,NA,NA,NA
Haryana,Reliance,1000,21,99,Unlimited-FB/Unlimited-TW,NA,NA,NA,NA
Mumbai,Reliance,1000,21,99,Internet,1000,NA,NA,NA
UP West/Uttarakhand,Reliance,1000,21,99,Unlimited-FB/Unlimited-TW,NA,NA,NA,NA
Kolkata,Airtel,325,10,67,Internet,325,NA,NA,NA
Maharashtra/Goa,Reliance,1000,21,98,Unlimited-FB/Unlimited-TW,NA,NA,NA,NA
Haryana,Airtel,350,10,72,Internet,350,NA,NA,NA
Himachal Pradesh,Airtel,350,10,72,Internet,350,NA,NA,NA
Punjab,Airtel,350,10,72,Internet,350,NA,NA,NA
Orissa,Reliance,1000,21,97,Unlimited-FB/Unlimited-WA,NA,NA,NA,NA
Andhra Pradesh,Airtel,375,10,75,Internet,375,NA,NA,NA
Delhi NCR,Idea,375,10,75,Internet,375,NA,NA,NA
Madhya Pradesh/Chhattisgarh,Idea,330,10,66,Internet,330,NA,NA,NA
Maharashtra/Goa,Airtel,400,10,79,Internet,400,NA,NA,NA
UP West/Uttarakhand,Idea,350,10,69,Internet,350,NA,NA,NA
Kerala,Reliance,450,14,63,Internet,450,NA,NA,NA
Orissa,Idea,250,10,49,Internet,250,NA,NA,NA
UP East,Airtel,500,10,97,Internet,500,NA,NA,NA
Haryana,Idea,200,15,25,FB,NA,200,NA,NA
Kolkata,Airtel,300,9,61,Internet,300,NA,NA,NA
West Bengal,Airtel,300,9,61,Internet,300,NA,NA,NA
Gujarat,Idea,200,7,52,Internet,200,NA,NA,NA
